STATE_NAME,COUNTY_NAME,NAMELSAD,xmin,ymin,xmax,ymax,GEOID,STATEFP,COUNTYFP
Alabama,Autauga,Autauga County,-86.921237,32.307574,-86.411172,32.708213,1001,1,1
Alabama,Baldwin,Baldwin County,-88.037309,30.146561,-87.366591,31.319017,1003,1,3
Alabama,Barbour,Barbour County,-85.748433,31.617565,-85.048825,32.148251,1005,1,5
Alabama,Bibb,Bibb County,-87.421989,32.831522,-86.876023,33.246926,1007,1,7
Alabama,Blount,Blount County,-86.963358,33.765171,-86.303516,34.260483,1009,1,9
Alabama,Bullock,Bullock County,-85.999258,31.880275,-85.410042,32.305289,1011,1,11
Alabama,Butler,Butler County,-86.908939,31.523673,-86.438341,31.964629,1013,1,13
Alabama,Calhoun,Calhoun County,-86.146225,33.55593,-85.529432,33.96846,1015,1,15
Alabama,Chambers,Chambers County,-85.593653,32.72853,-85.122189,33.109038,1017,1,17
Alabama,Cherokee,Cherokee County,-85.843875,33.941423,-85.398837,34.526271,1019,1,19
Alabama,Chilton,Chilton County,-87.019157,32.660117,-86.371118,33.07188,1021,1,21
Alabama,Choctaw,Choctaw County,-88.473227,31.697929,-87.92825,32.310574,1023,1,23
Alabama,Clarke,Clarke County,-88.180821,31.185486,-87.50093,31.991355,1025,1,25
Alabama,Clay,Clay County,-86.17437,33.09026,-85.641129,33.498904,1027,1,27
Alabama,Cleburne,Cleburne County,-85.887782,33.469226,-85.304439,33.964204,1029,1,29
Alabama,Coffee,Coffee County,-86.196365,31.182023,-85.789139,31.619311,1031,1,31
Alabama,Colbert,Colbert County,-88.139988,34.56623,-87.415888,34.906694,1033,1,33
Alabama,Conecuh,Conecuh County,-87.427516,31.181133,-86.662082,31.753035,1035,1,35
Alabama,Coosa,Coosa County,-86.522283,32.753434,-85.999748,33.104702,1037,1,37
Alabama,Covington,Covington County,-86.702791,30.993258,-86.186876,31.528604,1039,1,39
Alabama,Crenshaw,Crenshaw County,-86.503948,31.440072,-86.14395,32.05171,1041,1,41
Alabama,Cullman,Cullman County,-87.151036,33.857954,-86.451111,34.313799,1043,1,43
Alabama,Dale,Dale County,-85.791581,31.195173,-85.415334,31.620566,1045,1,45
Alabama,Dallas,Dallas County,-87.47308,32.047202,-86.806867,32.729532,1047,1,47
Alabama,DeKalb,DeKalb County,-86.118911,34.199262,-85.513612,34.860371,1049,1,49
Alabama,Elmore,Elmore County,-86.413335,32.406036,-85.852625,32.769225,1051,1,51
Alabama,Escambia,Escambia County,-87.616074,30.994487,-86.688063,31.261997,1053,1,53
Alabama,Etowah,Etowah County,-86.370152,33.841598,-85.737137,34.200756,1055,1,55
Alabama,Fayette,Fayette County,-87.952072,33.519568,-87.423701,33.919931,1057,1,57
Alabama,Franklin,Franklin County,-88.173632,34.304598,-87.529667,34.581703,1059,1,59
Alabama,Geneva,Geneva County,-86.193476,30.992859,-85.485288,31.199886,1061,1,61
Alabama,Greene,Greene County,-88.207497,32.517727,-87.706271,33.153657,1063,1,63
Alabama,Hale,Hale County,-87.870502,32.48068,-87.420132,33.006824,1065,1,65
Alabama,Henry,Henry County,-85.418035,31.307675,-85.041305,31.774364,1067,1,67
Alabama,Houston,Houston County,-85.712436,30.997064,-84.999428,31.314973,1069,1,69
Alabama,Jackson,Jackson County,-86.359034,34.464473,-85.583145,34.991098,1071,1,71
Alabama,Jefferson,Jefferson County,-87.341698,33.245995,-86.516662,33.843237,1073,1,73
Alabama,Lamar,Lamar County,-88.274619,33.523987,-87.946305,34.058333,1075,1,75
Alabama,Lauderdale,Lauderdale County,-88.202959,34.731901,-87.210759,35.008028,1077,1,77
Alabama,Lawrence,Lawrence County,-87.531024,34.299096,-87.105073,34.804992,1079,1,79
Alabama,Lee,Lee County,-85.696955,32.40984,-85.00102,32.74653,1081,1,81
Alabama,Limestone,Limestone County,-87.278636,34.55079,-86.783582,34.999024,1083,1,83
Alabama,Lowndes,Lowndes County,-86.908597,31.961601,-86.396357,32.406682,1085,1,85
Alabama,Macon,Macon County,-86.023164,32.231975,-85.433543,32.595933,1087,1,87
Alabama,Madison,Madison County,-86.790056,34.475633,-86.255771,34.992339,1089,1,89
Alabama,Marengo,Marengo County,-88.118344,31.989832,-87.472206,32.547268,1091,1,91
Alabama,Marion,Marion County,-88.207229,33.914723,-87.634324,34.321054,1093,1,93
Alabama,Marshall,Marshall County,-86.581936,34.099073,-86.057712,34.600143,1095,1,95
Alabama,Mobile,Mobile County,-88.432007,30.144425,-87.923944,31.173306,1097,1,97
Alabama,Monroe,Monroe County,-87.784796,31.227268,-86.905899,31.831795,1099,1,99
Alabama,Montgomery,Montgomery County,-86.498531,31.965065,-85.918577,32.50169,1101,1,101
Alabama,Morgan,Morgan County,-87.110199,34.304694,-86.54975,34.686037,1103,1,103
Alabama,Perry,Perry County,-87.525682,32.307279,-87.017653,32.875129,1105,1,105
Alabama,Pickens,Pickens County,-88.340432,32.991199,-87.836596,33.534008,1107,1,107
Alabama,Pike,Pike County,-86.199408,31.616414,-85.657668,32.06189,1109,1,109
Alabama,Randolph,Randolph County,-85.653949,33.106634,-85.232378,33.501378,1111,1,111
Alabama,Russell,Russell County,-85.434747,32.061708,-84.888246,32.510157,1113,1,113
Alabama,Shelby,Shelby County,-87.026846,33.018664,-86.340937,33.546156,1117,1,117
Alabama,St. Clair,St. Clair County,-86.577799,33.390983,-86.043865,33.989402,1115,1,115
Alabama,Sumter,Sumter County,-88.421453,32.307437,-87.840858,32.99586,1119,1,119
Alabama,Talladega,Talladega County,-86.50359,33.102944,-85.794559,33.699495,1121,1,121
Alabama,Tallapoosa,Tallapoosa County,-86.013897,32.49297,-85.592989,33.10734,1123,1,123
Alabama,Tuscaloosa,Tuscaloosa County,-87.840711,33.003379,-87.065738,33.609833,1125,1,125
Alabama,Walker,Walker County,-87.636119,33.512929,-86.953616,34.005305,1127,1,127
Alabama,Washington,Washington County,-88.46443,31.114064,-87.887267,31.699303,1129,1,129
Alabama,Wilcox,Wilcox County,-87.667945,31.827123,-86.856576,32.269036,1131,1,131
